"","rSim.apple","rSim.ibm","rSim.invgy","rSim.yandex","rSim.microsoft","rSim.bidu","mean","mu","Cov","Sigma","CVaR","VaR"
"1",0,-2.00705827513303e-08,1.00000002007058,0,0,0,-0.00128144757717615,-0.00128144757717615,0.0134114967708576,0.0134114967708576,0.033219820780082,0.0220009623716077
"2",0,0.043428308404692,0.956571691595308,0,0,0,-0.00124013007280679,-0.00124013007280679,0.0128969045674401,0.0128969045674401,0.0319112199902559,0.0213516521818461
"3",0,0.0868566168093835,0.913143383190616,0,0,0,-0.00119881258753248,-0.00119881258753248,0.0123927086604371,0.0123927086604371,0.0306161120353555,0.0204516777086112
"4",0,0.130284925214076,0.869715074785925,0,0,0,-0.00115749510225817,-0.00115749510225817,0.0119002302817459,0.0119002302817459,0.0293563276174142,0.0193753635244399
"5",0,0.173713233618767,0.826286766381233,0,0,0,-0.00111617761698387,-0.00111617761698387,0.0114209853283324,0.0114209853283324,0.0281109232508729,0.0186540568353793
"6",0,0.217141542023459,0.782858457976541,0,0,0,-0.00107486013170956,-0.00107486013170956,0.0109567104222335,0.0109567104222335,0.0268874073206987,0.0177608728070472
"7",0,0.260569850428151,0.73943014957185,0,0,0,-0.00103354264643526,-0.00103354264643526,0.0105093897529148,0.0105093897529148,0.0256975401404632,0.0173447292588143
"8",0,0.303998158832842,0.696001841167158,0,0,0,-0.000992225161160951,-0.000992225161160951,0.010081280423436,0.010081280423436,0.0245579958185968,0.0166231192126298
"9",0,0.347426467237534,0.652573532762466,0,0,0,-0.000950907675886645,-0.000950907675886645,0.00967493303690161,0.00967493303690161,0.0234660852254344,0.0159142344218246
"10",0,0.390854775642226,0.609145224357774,0,0,0,-0.000909590190612339,-0.000909590190612339,0.00929320266949997,0.00929320266949997,0.0224460182708771,0.0152209686380076
"11",0,0.434283084046918,0.565716915953082,0,0,0,-0.000868272705338033,-0.000868272705338033,0.00893924352166144,0.00893924352166144,0.0214918045694612,0.0149168182055017
"12",0,0.47771139245161,0.522288607548391,0,0,0,-0.000826955220063727,-0.000826955220063727,0.00861647874238801,0.00861647874238801,0.0206268033202341,0.0144370608381462
"13",0,0.521139700856301,0.478860299143699,0,0,0,-0.000785637734789421,-0.000785637734789421,0.00832853584922204,0.00832853584922204,0.0198533857224685,0.0137901643538997
"14",0,0.564568009260993,0.435431990739007,0,0,0,-0.000744320249515115,-0.000744320249515115,0.0080791388873334,0.0080791388873334,0.0191959502335641,0.0135838693382182
"15",0,0.607996317665685,0.392003682334315,0,0,0,-0.000703002764240809,-0.000703002764240809,0.00787195231344566,0.00787195231344566,0.0186866393524895,0.0131220667802985
"16",0,0.651424626070376,0.348575373929624,0,0,0,-0.000661685278966503,-0.000661685278966503,0.00771037960056416,0.00771037960056416,0.0183020458186966,0.0128071443288827
"17",0.0175314673326547,0.639557819549883,0.330033528867439,0,0,0.0128771842500233,-0.000620367793692197,-0.000620367793692197,0.00758881492408978,0.00758881492408978,0.0179888691260552,0.0126124343121492
"18",0.035961892651824,0.626190048393511,0.312256193493254,0,0,0.0255918654614111,-0.000579050308417891,-0.000579050308417891,0.00747786195378792,0.00747786195378792,0.0176935175577412,0.0124057934243949
"19",0.0597818691006667,0.611990743278707,0.295931130370583,0,0,0.0322962572500432,-0.000537732823143585,-0.000537732823143585,0.00737863805893781,0.00737863805893781,0.01742139037316,0.0120151442884671
"20",0.0791240120228056,0.59850965766379,0.278388981012229,0,0,0.043977349301175,-0.000496415337869279,-0.000496415337869279,0.00728889209565592,0.00728889209565592,0.0171724780319127,0.0117118797903592
"21",0.0908183388227065,0.591060802426908,0.256925745433972,0,0,0.0611951133164136,-0.000455097852594973,-0.000455097852594973,0.0072091298484214,0.0072091298484214,0.0169408031454013,0.0113915094630017
"22",0.117154600184533,0.579036869366591,0.240295870980377,0,0,0.0635126594684992,-0.000413780367320667,-0.000413780367320667,0.00714200656317401,0.00714200656317401,0.016731779939333,0.0112429394790885
"23",0.142287653288695,0.565731398020143,0.223904275816689,0,0,0.0680766728744731,-0.000372462882046361,-0.000372462882046361,0.00708713788055751,0.00708713788055751,0.0165485629942875,0.0110893085180767
